agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
18500,CORPORATION COMMISSION,202,Corp. Commission Rev Fund,"TITLE 17, SEC. 180.7",2011,7,$2792820.59
18500,CORPORATION COMMISSION,205,Undergr Stor Tank Indemn. Fd.,"TITLE 17, SEC. 353",2011,7,$233751.47
18500,CORPORATION COMMISSION,210,Undrgr Storage Tank Rev. Fd.,"TITLE 17, SEC. 315",2011,4,$558561.12
18500,CORPORATION COMMISSION,215,Corp.Comm. Plugging Fund,"TITLE 17, SECTION 180.10",2011,7,$2314273.20
18500,CORPORATION COMMISSION,220,Public Utility Regulation R F,"TITLE 17,SECTION 180.11",2011,7,$2423920.35
18500,CORPORATION COMMISSION,225,Leaking Undergrd Stg Tank,"TITLE 17, SECTION 365",2935,7,$853618.35
18500,CORPORATION COMMISSION,230,Oil & Gas Division Fund,"TITLE 17, SEC 57",2011,7,$1255707.78
18500,CORPORATION COMMISSION,240,Emergency 911 Assessment Fund,"TITLE 17, SEC. 139.109",1487,7,$5195.30
18500,CORPORATION COMMISSION,245,Trucking One-Stop Shop Fund,TITLE 47 SECTION 1167D,2011,7,$3431475.31
18500,CORPORATION COMMISSION,400,Federal Funds,"TITLE 62, SEC. 41.8",2011,7,$25005.71
18500,CORPORATION COMMISSION,405,Undergrd Storage Tank Grant Pr,,2011,7,$1038.82
18500,CORPORATION COMMISSION,425,Leaking Storage Tank Trust Fun,"TITLE 82, SEC. 934.1 B, AMENDED BY HB 1415,",2011,7,$0.00
18500,CORPORATION COMMISSION,490,American Recov. & Reinv. Act,,2471,7,$23835.07
18500,CORPORATION COMMISSION,494,Surplus Property Fund,"TITLE 74, SECTION 62.5",2011,7,$0.00
18500,CORPORATION COMMISSION,495,Surplus Property Fund,"TITLE 74, SECTION 62.5",2011,7,$0.00
18500,CORPORATION COMMISSION,567,Corp Commission Gas Seep Fund,TITLE 52 SECTION 317.1,2011,7,$0.00
19000,COSMETOLOGY BOARD,200,Bd Of Cosmetology Rev Fund,"TITLE 59, SEC. 199.15",2011,6,$708610.33
19900,COURT OF CRIMINAL APPEALS,200,Revolving Fund,"TITLE 62, SECTION 34.56 & 34.9",2011,7,$269.71
